"chain","step","stage","mae","mae_similarity_percent","rmse","psnr_db","ssim","incremental_mae","incremental_similarity_percent","mean_delta_r","mean_delta_g","mean_delta_b"
"raw","1","gemini","2.7407124042510986","98.92521082186232","4.335508823394775","35.390002120416796","0.9619570550445983","2.7407124042510986","98.92521082186232","-1.2430801391601562","-1.9366827011108398","-2.2860326766967773"
"raw","2","gemini","4.342809200286865","98.29693756851495","6.353954315185547","32.069921850018474","0.9450253405973816","2.1071360111236572","99.17367215250053","-2.308760643005371","-3.6657609939575195","-4.257258415222168"
"raw","3","gemini","6.023181915283203","97.63796787635954","8.493124008178711","29.549454303306536","0.9261552680171626","2.080467939376831","99.18413021985222","-3.456191062927246","-5.373747825622559","-6.246216773986816"
"raw","4","gemini","7.608232021331787","97.01637959947773","10.560266494750977","27.657306048247015","0.9047583984847725","1.9588056802749634","99.23184090969609","-4.549228668212891","-6.949230194091797","-8.0807466506958"
"raw","5","gemini","9.113419532775879","96.42610998714672","12.539427757263184","26.16524925443671","0.8829989523594407","1.9043474197387695","99.25319709029851","-5.57314395904541","-8.421769142150879","-9.66986083984375"
"corrected","1","gemini_before_correction","2.7407124042510986","98.92521082186232","4.335508823394775","35.390002120416796","0.9619570550445983","2.7407124042510986","98.92521082186232","-1.2430801391601562","-1.9366827011108398","-2.2860326766967773"
"corrected","1","corrected_after_model","2.126906156539917","99.16591915429808","3.842736005783081","36.43799261556603","0.9666273428122351","2.126906156539917","99.16591915429808","-0.4246816635131836","-0.4967479705810547","-0.5997343063354492"
"corrected","2","gemini_before_correction","6.501911163330078","97.45023091634114","17.808420181274414","23.118295726979575","0.9354578779761477","5.216461181640625","97.95432894837623","-4.758349418640137","-5.494140625","-5.7506513595581055"
"corrected","2","corrected_after_model","5.889423370361328","97.69042220770145","17.40768814086914","23.315981654834907","0.9364392577940569","4.39616060256958","98.2760154499727","-3.9036293029785156","-4.0182905197143555","-3.999347686767578"
"corrected","3","gemini_before_correction","6.467309474945068","97.4638002059039","17.72809410095215","23.157562642775794","0.9223550539542084","2.0541188716888428","99.194463187573","-3.6465015411376953","-4.510195732116699","-4.493807792663574"
"corrected","3","corrected_after_model","6.138660430908203","97.59268218395756","17.381059646606445","23.329278609872045","0.9213476285304276","1.8191560506820679","99.28660547032075","-2.7853927612304688","-2.9911794662475586","-2.724519729614258"
"corrected","4","gemini_before_correction","6.835182189941406","97.31953639610141","17.77495002746582","23.134635840138213","0.9038878103587206","1.929193139076233","99.2434536709505","-2.342954635620117","-3.3188295364379883","-2.9812612533569336"
"corrected","4","corrected_after_model","6.790541172027588","97.33704267763625","17.517314910888672","23.26145286056807","0.9032211172327443","1.8735891580581665","99.26525915370267","-1.4832782745361328","-1.763779640197754","-1.2015514373779297"
"corrected","5","gemini_before_correction","7.289104461669922","97.14152766209023","18.087844848632812","22.983067126213903","0.8953955565653348","2.1287662982940674","99.1651896869435","-2.607574462890625","-3.784104347229004","-3.5361862182617188"
"corrected","5","corrected_after_model","7.199674129486084","97.17659838059369","17.87175750732422","23.08745834681318","0.8924778846509526","1.307745337486267","99.48715869118186","-1.7416772842407227","-2.2401323318481445","-1.7530879974365234"
